project,file,human_summary,summary_a,summary_b,summary_c,accuracy_presentation_order,accuracy_rank_1st,accuracy_rank_2nd,accuracy_rank_3rd,accuracy_reasoning,conciseness_presentation_order,conciseness_rank_1st,conciseness_rank_2nd,conciseness_rank_3rd,conciseness_reasoning,adequacy_presentation_order,adequacy_rank_1st,adequacy_rank_2nd,adequacy_rank_3rd,adequacy_reasoning,code_context_presentation_order,code_context_rank_1st,code_context_rank_2nd,code_context_rank_3rd,code_context_reasoning,design_patterns_presentation_order,design_patterns_rank_1st,design_patterns_rank_2nd,design_patterns_rank_3rd,design_patterns_reasoning,total_points_a,total_points_b,total_points_c,scored_criteria,avg_points_a,avg_points_b,avg_points_c,winner,comparison,llm_source_file,status,missing_methods,match_key
AbdurRKhalid,Test.java,"The test class is a client. and makes two calls to getInstance() with different values return the same instance, proving only one object exists.",It is a public class. The only method of Test is main (void). No methods call main and main calls no methods.,"Test is the application entry point, responsible for launching execution through its public static main method. It collaborates only with the runtime-provided String[] arguments. No design-pattern role is identified in the available analysis, so its pattern context remains unspecified.",The Test class. The main method performs using a parameter.,CAB,,,,Invalid or error response; criterion skipped,ABC,3,1,2,"3,1,2",CBA,3,2,1,"1,2,3",CAB,2,3,1,"3,1,2",BAC,3,2,1,"3,1,2",5,8,11,4,1.25,2.0,2.75,SWUM,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::singleton::test
AbdurRKhalid,SquarePeg.java,"SquarePeg is an adaptee that represents a square peg with a given width. It provides methods to retrieve the width and calculate its area (getSquare()), which returns the square of the width using Math.pow().","adapter: SquarePeg acts as an adaptee for adapter SquarePegAdapter, which adapts to RoundPeg, which adapts to RoundPeg. It is a public class. The 2 methods of SquarePeg are getWidth (double) and getSquare (double). No methods call getWidth and getWidth calls no methods. No methods call getSquare and getSquare calls no methods.","SquarePeg is a public model class representing a square peg with a width value and accessors for that width and its square measure. It collaborates with adapter-based code in an Adapter pattern context, where its simple interface is adapted for compatibility with other peg-related components.","The SquarePeg class acts as an adaptee in the adapter pattern and provides methods to get, get. The getWidth method retrieves and returns a number. The SquarePeg class acts as an adaptee in the adapter pattern. The getSquare method retrieves and returns a number.",ABC,2,1,3,"2,1,3",CAB,2,3,1,"3,1,2",CBA,2,3,1,"2,1,3",ABC,2,1,3,"2,1,3",CBA,2,3,1,"2,1,3",7,15,8,5,1.4,3.0,1.6,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::adapter::squarepeg
AbdurRKhalid,SquarePegAdapter.java,"SquarePegAdapter is an adapter that adapts a SquarePeg to behave like a RoundPeg. It overrides getRadius() to calculate an equivalent radius for the square peg using the formula based on its width, enabling compatibility with round hole logic in the Adapter pattern.","adapter: SquarePegAdapter acts as an adapter, which adapts to RoundPeg. It is a public class that extends RoundPeg. The only method of SquarePegAdapter is getRadius (double). No methods call getRadius and getRadius calls no methods.","SquarePegAdapter is a public RoundPeg subclass that adapts a SquarePeg for round-peg radius access. It stores a SquarePeg reference, is constructed with that collaborator, and overrides getRadius() to provide the adapted interface. Static analysis identifies it as an Adapter pattern participant.",The SquarePegAdapter class acts as an adapter in the adapter pattern and provides methods to get. The getRadius method retrieves and returns a number. The SquarePegAdapter class acts as an adapter in the adapter pattern.,ACB,2,1,3,"3,1,2",ABC,2,1,3,"2,1,3",BAC,2,1,3,"1,2,3",BCA,2,3,1,"1,2,3",CBA,2,3,1,"2,1,3",8,15,7,5,1.6,3.0,1.4,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::adapter::squarepegadapter
AbdurRKhalid,RoundHole.java,"RoundHole is a target adapter representing a circular hole with a fixed radius. It provides getRadius() and a fits() method to check if a given RoundPeg can fit inside by comparing their radii, forming part of the Adapter pattern for compatibility between round and square pegs.",It is a public class. The 2 methods of RoundHole are getRadius (double) and fit (boolean). No methods call getRadius and getRadius calls no methods. No methods call fit and fit calls no methods.,"RoundHole represents a circular hole defined by a radius, constructed with an initial radius value. It collaborates with RoundPeg through its fits method to determine compatibility. The class serves as a geometric utility and has no explicit design-pattern role captured in the static analysis.",The RoundHole class provides methods to get. The getRadius method retrieves and returns a number. The fits method performs using a parameter and returns a boolean.,ABC,2,3,1,"2,3,1",CAB,2,3,1,"3,1,2",BAC,2,3,1,"1,3,2",ABC,2,1,3,"2,1,3",ACB,2,3,1,"3,2,1",6,15,9,5,1.2,3.0,1.8,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::adapter::roundhole
AbdurRKhalid,RoundPeg.java,"RoundPeg is a target adapter that represents a circular peg with a radius. It provides constructors for initialization and a getRadius() method to retrieve the radius, serving as the target interface in the Adapter pattern for compatibility with RoundHole.","adapter: RoundPeg acts as a target for adapter SquarePegAdapter, which adapts to RoundPeg. It is a public class. The only method of RoundPeg is getRadius (double). No methods call getRadius and getRadius calls no methods.","RoundPeg is a public domain class representing a round peg’s radius, with constructors for default or explicit initialization and an accessor for reading the radius. It serves as a participant in an adapter-pattern context, where its simple circular interface is likely adapted to incompatible shapes.",The RoundPeg class acts as a target in the adapter pattern and provides methods to get. The getRadius method retrieves and returns a number. The RoundPeg class acts as a target in the adapter pattern.,BAC,2,1,3,"1,2,3",ACB,2,1,3,"3,1,2",BCA,2,3,1,"1,2,3",ACB,2,1,3,"3,1,2",BCA,2,3,1,"1,2,3",8,15,7,5,1.6,3.0,1.4,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::adapter::roundpeg
AbdurRKhalid,Test.java,"This test demonstrates is a client. A RoundHole checks if a RoundPeg fits, then uses SquarePegAdapter to adapt square pegs for compatibility. The output confirms that a small square peg fits while a large one does not, validating the adapter’s role in bridging incompatible interfaces.",It is a public class. The only method of Test is main (void). No methods call main and main calls no methods.,Test is a public entry-point class that provides the application’s main method. It collaborates only with the runtime through `main(String[] args)` and serves as the executable launcher. No design-pattern role was captured in the static analysis.,The Test class. The main method performs using a parameter.,BAC,,,,Invalid or error response; criterion skipped,ACB,2,3,1,"3,2,1",BCA,,,,Invalid or error response; criterion skipped,CBA,2,3,1,"2,1,3",ABC,3,2,1,"3,2,1",3,8,7,3,1.0,2.67,2.33,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::adapter::test
AbdurRKhalid,DataSource.java,"DataSource is an Decorator interface defining two methods: writeData(String data) for storing data and readData() for retrieving it. It serves as the base component in the Decorator pattern, allowing flexible extension of data handling functionality.","decorator: DataSource acts as a component for DataSourceDecorator, which is inherited by FileDataSource, FileDataSource. It is a public interface. The 2 methods of DataSource are writeData (void) and readData (String). No methods call writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.   facade: DataSource acts as a subsystem for facade Test, which main method of Test calls readData. It is a public interface. The 2 methods of DataSource are writeData (void) and readData (String). No methods call writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.","DataSource is a public interface defining the contract for reading and writing string data, with `readData()` and `writeData(String)` as its core operations. It is invoked by `Test.main` and serves as the abstraction around which decorator and facade pattern roles are identified.","The DataSource class acts as a component in the decorator pattern and provides methods to write, read for managing data. The writeData method writes a data using a parameter. The DataSource class acts as a component in the decorator pattern. The readData method reads a data and returns a String.",CBA,2,3,1,"2,1,3",CAB,2,3,1,"3,1,2",CBA,2,3,1,"2,1,3",BCA,2,3,1,"1,2,3",BCA,2,3,1,"1,2,3",5,15,10,5,1.0,3.0,2.0,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::decorator::datasource
AbdurRKhalid,FileDataSource.java,"FileDataSource is a concrete component implementation of DataSource that reads and writes data to a file. It uses FileOutputStream for writing and FileReader for reading, handling I/O exceptions gracefully. This class acts as the core component in the Decorator pattern for file-based storage.","decorator: FileDataSource acts as a component for decorator DataSourceDecorator, which overrides writeDataDataSource, readDataDataSource. It is a public class that extends DataSource and that implements DataSource. The 2 methods of FileDataSource are writeData (void) and readData (String). No methods call writeData and writeData calls no methods. No methods call readData and readData calls no methods.","FileDataSource is a concrete DataSource that stores a file name and provides readData and writeData operations. It collaborates with the DataSource abstraction through overriding methods, and static analysis identifies it as part of a decorator-pattern structure.","The FileDataSource class acts as a concrete component in the decorator pattern and provides methods to write, read for managing file, data. The writeData method writes a data using a parameter. The FileDataSource class acts as a concrete component in the decorator pattern. The readData method reads a data and returns a String.",CAB,2,3,1,"3,1,2",BAC,,,,Invalid or error response; criterion skipped,ABC,2,3,1,"2,3,1",CBA,2,3,1,"2,1,3",BAC,3,2,1,"3,1,2",4,11,9,4,1.0,2.75,2.25,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::decorator::filedatasource
AbdurRKhalid,CompressionDecorator.java,CompressionDecorator is a concrete decorator that extends DataSourceDecorator to add transparent compression. It Base64-encodes compressed data when writing (using Deflater with configurable level) and decodes/decompresses when reading (using Inflater). This decorates any DataSource with compress/decompress behavior without changing the underlying component.,"decorator: CompressionDecorator acts as a decorator for decorator DataSourceDecorator, which overrides writeData method of DataSourceDecorator, readData method of DataSourceDecorator. It is a public class that extends DataSourceDecorator. The 6 methods of CompressionDecorator are getCompressionLevel (int), setCompressionLevel (void), writeData (void), readData (String), compress (String) and decompress (String). No methods call getCompressionLevel and getCompressionLevel calls no methods. No methods call setCompressionLevel and setCompressionLevel calls no methods. No methods call writeData and writeData calls only one method : compress method of class CompressionDecorator. No methods call readData and readData calls no methods. Only one method ( writeData method of class CompressionDecorator ) calls compress and compress calls no methods. No methods call decompress and decompress calls no methods.","CompressionDecorator extends DataSourceDecorator to add compression behavior to a DataSource. It stores a compression level, exposes accessors, and overrides readData and writeData to delegate through private compress and decompress helpers. Static analysis identifies it as part of the Decorator pattern.","The CompressionDecorator class acts as a concrete decorator in the decorator pattern and provides methods to get, set, write, read, compress, decompress. The getCompressionLevel method retrieves and returns a number. The CompressionDecorator class acts as a concrete decorator in the decorator pattern. The setCompressionLevel method sets using a parameter. The writeData method writes a data using a parameter. The readData method reads a data and returns a String. The compress method compresses using a parameter and returns a String. The decompress method decompresses using a parameter and returns a String.",BCA,2,3,1,"1,2,3",BAC,2,3,1,"1,3,2",BAC,2,3,1,"1,3,2",BAC,2,3,1,"1,3,2",ACB,2,3,1,"3,2,1",5,15,10,5,1.0,3.0,2.0,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::decorator::compressiondecorator
AbdurRKhalid,EncryptionDecorator.java,"EncryptionDecorator is a concrete decorator that adds simple encoding/decoding to any DataSource. On write, it shifts each byte by +1 and Base64-encodes; on read, it Base64-decodes and shifts bytes back by −1. It transparently layers encryption behavior without modifying the wrapped component.","decorator: EncryptionDecorator acts as a decorator for decorator DataSourceDecorator, which overrides writeData method of DataSourceDecorator, readData method of DataSourceDecorator. It is a public class that extends DataSourceDecorator. The 4 methods of EncryptionDecorator are writeData (void), readData (String), encode (String) and decode (String). No methods call writeData and writeData calls only one method : encode method of class EncryptionDecorator. No methods call readData and readData calls no methods. Only one method ( writeData method of class EncryptionDecorator ) calls encode and encode calls no methods. No methods call decode and decode calls no methods.","EncryptionDecorator is a public DataSourceDecorator that wraps a DataSource and adds encryption/decryption behavior around data access. It overrides writeData and readData, delegating encoding and decoding through private helpers. Static analysis identifies it as a Decorator pattern participant, extending source handling without altering the base interface.","The EncryptionDecorator class acts as a concrete decorator in the decorator pattern and provides methods to write, read, encode, decode. The writeData method writes a data using a parameter. The EncryptionDecorator class acts as a concrete decorator in the decorator pattern. The readData method reads a data and returns a String. The encode method encodes using a parameter and returns a String. The decode method decodes using a parameter and returns a String.",CAB,2,3,1,"3,1,2",CAB,2,3,1,"3,1,2",CBA,2,3,1,"2,1,3",CAB,2,3,1,"3,1,2",ABC,2,3,1,"2,3,1",5,15,10,5,1.0,3.0,2.0,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::decorator::encryptiondecorator
AbdurRKhalid,DataSourceDecorator.java,DataSourceDecorator is an abstract decorator implementing DataSource. It holds a reference to another DataSource (wrappee) and delegates writeData() and readData() calls to it. This class forms the base for concrete decorators that add extra functionality without altering the original component.,"decorator: DataSourceDecorator acts as a decorator for component DataSource, which is inherited by EncryptionDecorator, CompressionDecorator. It is a public class that extends DataSource and that implements DataSource. The 2 methods of DataSourceDecorator are writeData (void) and readData (String). Only one method ( main method of class Test ) calls writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.   facade: DataSourceDecorator acts as a subsystem for facade Test, which main method of Test calls writeData, which main method of Test calls readData. It is a public class that extends DataSource and that implements DataSource. The 2 methods of DataSourceDecorator are writeData (void) and readData (String). Only one method ( main method of class Test ) calls writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.","DataSourceDecorator is a public DataSource wrapper that delegates to a protected underlying DataSource and overrides readData and writeData. It collaborates with the wrapped source and is identified by static analysis as serving decorator and facade roles, likely mediating calls initiated from Test.main.","The DataSourceDecorator class acts as a decorator in the decorator pattern and provides methods to write, read for managing data. The writeData method writes a data using a parameter. The DataSourceDecorator class acts as a decorator in the decorator pattern. The readData method reads a data and returns a String.",BAC,2,3,1,"1,3,2",CAB,2,3,1,"3,1,2",BAC,2,3,1,"1,3,2",CBA,2,3,1,"2,1,3",CBA,2,3,1,"2,1,3",5,15,10,5,1.0,3.0,2.0,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::decorator::datasourcedecorator
AbdurRKhalid,Test.java,"This Java code demonstrates the Decorator pattern. It writes salary data to a file, applying encryption and compression decorators then reads and prints the original, encoded, and decoded data.","facade: Test acts as a facade for subsystem DataSourceDecorator, DataSource, which main calls writeData method of DataSourceDecorator, readData method of DataSource, readData method of DataSourceDecorator. It is a public class. The only method of Test is main (void). No methods call main and main calls 3 methods : writeData method of class DataSourceDecorator, readData method of class DataSource and readData method of class DataSourceDecorator.","Test is a public entry point class that coordinates access to the data source abstraction by calling readData and writeData through DataSource and DataSourceDecorator collaborators. It functions as a facade-style launcher for exercising the data source operations, with a single main method driving the interaction.",The Test class acts as a facade in the facade pattern. The main method performs using a parameter.,ACB,2,1,3,"3,1,2",ACB,2,3,1,"3,2,1",BAC,,,,Invalid or error response; criterion skipped,ACB,2,1,3,"3,1,2",ACB,2,1,3,"3,1,2",7,12,5,4,1.75,3.0,1.25,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::decorator::test
AbdurRKhalid,AudioMixer.java,"AudioMixer is a part of a facade pattern. It simulates audio processing for video files. Its fix() method prints a message indicating audio adjustment and returns a temporary File object, representing the processed output.","facade: AudioMixer acts as a subsystem for facade VideoConversionFacade, which convertVideo method of VideoConversionFacade calls fix. It is a public class. The only method of AudioMixer is fix (File). Only one method ( convertVideo method of class VideoConversionFacade ) calls fix and fix calls no methods.","AudioMixer is a public facade-pattern participant that receives requests from VideoConversionFacade.convertVideo. It is responsible for processing a VideoFile and returning a File via fix(VideoFile result), acting as a collaborator within the video conversion workflow.",The AudioMixer class. The fix method performs using a parameter and returns an object.,ABC,2,1,3,"2,1,3",BAC,3,2,1,"3,1,2",CBA,2,3,1,"2,1,3",ABC,2,1,3,"2,1,3",BAC,2,1,3,"1,2,3",8,14,8,5,1.6,2.8,1.6,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::audiomixer
AbdurRKhalid,BitrateReader.java,"BitrateReader provides static methods for video processing. read() simulates reading a video file with a given codec, while convert() simulates writing or converting the file. Both methods print status messages and return the processed VideoFile, forming part of a Facade pattern for media conversion","facade: BitrateReader acts as a subsystem for facade VideoConversionFacade, which convertVideo method of VideoConversionFacade calls read, which convertVideo method of VideoConversionFacade calls convert. It is a public class. The 2 methods of BitrateReader are read (VideoFile) and convert (VideoFile). Only one method ( convertVideo method of class VideoConversionFacade ) calls read and read calls no methods. Only one method ( convertVideo method of class VideoConversionFacade ) calls convert and convert calls no methods.","BitrateReader is a public utility used by VideoConversionFacade to support facade-based video conversion. It collaborates with VideoFile and Codec through static read and convert operations, acting as a low-level conversion helper behind the facade’s simplified interface.","The BitrateReader class provides methods to read, convert. The read method reads using 2 parameters and returns an object. The convert method converts using 2 parameters and returns an object.",BAC,2,1,3,"1,2,3",ABC,2,1,3,"2,1,3",BCA,2,3,1,"1,2,3",ACB,2,1,3,"3,1,2",BAC,2,1,3,"1,2,3",9,15,6,5,1.8,3.0,1.2,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::bitratereader
AbdurRKhalid,Codec.java,"Codec is a marker interface representing a video codec type. It defines no methods but serves as a common type for codec implementations, enabling polymorphism in video processing operations within the Facade pattern.",It is a public interface.,"Codec is a public interface defining a contract for codec implementations in the AbdurRKhalid_Facade project. It has no captured collaborators or explicit design-pattern role in the static analysis, serving as a structural abstraction for encoding or decoding-related components.",The Codec class.,CAB,2,3,1,"3,1,2",ACB,,,,Invalid or error response; criterion skipped,ABC,2,1,3,"2,1,3",CAB,2,3,1,"3,1,2",CBA,2,3,1,"2,1,3",5,12,7,4,1.25,3.0,1.75,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::codec
AbdurRKhalid,CodecFactory.java,CodecFactory is a helper in the facade pattern that determines the codec type of a VideoFile and returns the appropriate implementation (MPEG4CompressionCodec or OggCompressionCodec). It prints diagnostic messages during extraction for video conversion.,"facade: CodecFactory acts as a facade for subsystem VideoFile, which extract calls getCodecType method of VideoFile. CodecFactory acts as a subsystem for facade VideoConversionFacade, which convertVideo method of VideoConversionFacade calls extract. It is a public class. The only method of CodecFactory is extract (Codec). Only one method ( convertVideo method of class VideoConversionFacade ) calls extract and extract calls only one method : getCodecType method of class VideoFile.","CodecFactory is a public facade-supporting utility that extracts a codec from a VideoFile by querying its codec type. It collaborates with VideoFile and is invoked by VideoConversionFacade.convertVideo, indicating its role in the Facade pattern as a simple access point for codec retrieval.",The CodecFactory class acts as a facade in the facade pattern. The extract method performs using a parameter and returns an object.,CBA,2,1,3,"2,3,1",ACB,2,3,1,"3,2,1",BAC,2,1,3,"1,2,3",BAC,2,1,3,"1,2,3",CBA,2,3,1,"2,1,3",8,15,7,5,1.6,3.0,1.4,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::codecfactory
AbdurRKhalid,MPEG4CompressionCodec.java,"MPEG4CompressionCodec is a concrete implementation of the Codec interface representing the MP4 format. It defines a public type field set to ""mp4"", used for identifying the codec during video processing in the Facade pattern",It is a public class that implements Codec.,"MPEG4CompressionCodec is a public Codec implementation that represents an MPEG-4 compression format through its public type field set to ""mp4"". It serves as a concrete codec collaborator within the project’s compression workflow, but no explicit design-pattern role was captured in static analysis.",The MPEG4CompressionCodec class.,CBA,2,3,1,"2,1,3",BAC,3,1,2,"3,2,1",CBA,2,3,1,"2,1,3",CAB,2,1,3,"3,2,1",ABC,2,1,3,"2,1,3",8,13,9,5,1.6,2.6,1.8,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::mpeg4compressioncodec
AbdurRKhalid,OggCompressionCodec.java,"OggCompressionCodec is a concrete implementation of the Codec interface in the facade pattern representing the OGG format. It contains a public type field set to ""ogg"", used for identifying the codec during video conversion.",It is a public class that implements Codec.,"OggCompressionCodec is a public Codec implementation representing the Ogg format through its type field set to ""ogg"". It collaborates with the Codec abstraction and serves as a concrete codec class, with no explicit design-pattern role captured in the static analysis.",The OggCompressionCodec class.,CAB,2,1,3,"3,2,1",CBA,,,,Invalid or error response; criterion skipped,BCA,2,3,1,"1,2,3",BAC,2,1,3,"1,2,3",CAB,,,,Invalid or error response; criterion skipped,5,9,4,3,1.67,3.0,1.33,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::oggcompressioncodec
AbdurRKhalid,Test.java,"This test demonstrates the Facade pattern. It uses VideoConversionFacade to convert an OGG video file to MP4 format, hiding complex operations like codec extraction, bitrate reading, audio fixing, and file handling behind a simple convertVideo() method for ease of use.","facade: Test acts as a facade for subsystem VideoConversionFacade, which main calls convertVideo method of VideoConversionFacade. It is a public class. The only method of Test is main (void). No methods call main and main calls only one method : convertVideo method of class VideoConversionFacade.","Test is a public entry-point class that delegates video conversion requests to VideoConversionFacade through its main method. It serves as a client for the facade implementation and, by the detected static analysis, participates in a Facade pattern context by invoking the unified conversion interface.",The Test class acts as a facade in the facade pattern. The main method performs using a parameter.,ABC,2,1,3,"2,1,3",BAC,,,,Invalid or error response; criterion skipped,ACB,2,1,3,"3,1,2",ACB,2,1,3,"3,1,2",ACB,2,1,3,"3,1,2",8,12,4,4,2.0,3.0,1.0,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::test
AbdurRKhalid,VideoConversionFacade.java,"VideoConversionFacade, part of facade pattern, simplifies video conversion by hiding complex steps that are codec extraction, bitrate reading, format conversion, and audio fixing behind a single convertVideo() method. It uses helper classes (CodecFactory, BitrateReader, AudioMixer) and returns the final converted file.","facade: VideoConversionFacade acts as a subsystem for facade Test, which main method of Test calls convertVideo. VideoConversionFacade acts as a facade for subsystem CodecFactory, AudioMixer, BitrateReader, which convertVideo calls extract method of CodecFactory, read method of BitrateReader, convert method of BitrateReader, fix method of AudioMixer. It is a public class. The only method of VideoConversionFacade is convertVideo (File). Only one method ( main method of class Test ) calls convertVideo and convertVideo calls 4 methods : read method of class BitrateReader, extract method of class CodecFactory, convert method of class BitrateReader and fix method of class AudioMixer.","VideoConversionFacade is a public facade that coordinates video conversion for clients. It delegates work to CodecFactory, BitrateReader, and AudioMixer to extract codecs, read and convert bitrate, and fix audio. Static analysis identifies it as the facade-pattern entry point invoked by Test.main.",The VideoConversionFacade class acts as a facade in the facade pattern and provides methods to convert. The convertVideo method converts using 2 parameters and returns an object. The VideoConversionFacade class acts as a facade in the facade pattern.,CAB,2,1,3,"3,2,1",CAB,2,3,1,"3,1,2",BAC,2,1,3,"1,2,3",ACB,2,1,3,"3,1,2",ABC,2,1,3,"2,1,3",9,15,6,5,1.8,3.0,1.2,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::videoconversionfacade
AbdurRKhalid,VideoFile.java,"VideoFile represents a video with a name and codec type. The codec type is derived from the file extension in the constructor. It provides getCodecType() and getName() methods for accessing these properties, supporting video conversion operations in the Facade pattern.","facade: VideoFile acts as a subsystem for facade CodecFactory, which extract method of CodecFactory calls getCodecType. It is a public class. The 2 methods of VideoFile are getCodecType (String) and getName (String). Only one method ( extract method of class CodecFactory ) calls getCodecType and getCodecType calls no methods. No methods call getName and getName calls no methods.","VideoFile is a public facade-pattern participant that represents a video asset by name and codec type. It provides accessors for these properties and is called by CodecFactory.extract, indicating it serves as an input object for codec selection within the facade structure.","The VideoFile class provides methods to get, get for managing file. The getCodecType method retrieves and returns a String. The getName method retrieves and returns a String.",BAC,2,1,3,"1,2,3",CAB,2,3,1,"3,1,2",BCA,2,3,1,"1,2,3",BAC,2,1,3,"1,2,3",CBA,2,3,1,"2,1,3",7,15,8,5,1.4,3.0,1.6,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,abdurrkhalid::facade::videofile
JamesZBL,Captain.java,"The Captain interface in the Abstract Factory pattern defines a type of Member, serving as a blueprint for creating consistent captain objects.","observer: Captain acts as an observer for publisher Application, which is inherited by YoungCaptain, OldCaptain. It is a public interface that extends Member. abstract_factory: Captain acts as an abstract product for Captain, which is inherited by YoungCaptain, OldCaptain. It is a public interface that extends Member.",Captain is a public Member interface representing a crew role within the abstract factory context. It collaborates with Member-derived types and participates in observer-related interactions as identified by static analysis. The interface’s responsibility is to define the captain role without specifying implementation details.,The Captain class acts as a publisher in the observer pattern and acts as an abstract product in the abstract_factory pattern.,CAB,2,3,1,"3,1,2",BAC,3,1,2,"3,2,1",CBA,2,1,3,"2,3,1",ACB,2,1,3,"3,1,2",BAC,2,1,3,"1,2,3",9,13,8,5,1.8,2.6,1.6,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,jameszbl::abstractfactory::captain
JamesZBL,Member.java,"The Member interface defines a contract for ship members or related entities, requiring them to provide a description via the getDescription() method, supporting the Abstract Factory pattern's consistency",It is a public interface. The only method of Member is getDescription (String). No methods call getDescription and getDescription calls no methods.,"Member is a public interface defining a description contract through getDescription(), serving as a lightweight abstraction for member-like entities. It collaborates with implementing classes that supply the returned text. No explicit design-pattern role was captured in the static analysis.",The Member class provides methods to get. The getDescription method retrieves and returns a String.,CBA,2,3,1,"2,1,3",ACB,2,1,3,"3,1,2",CBA,2,3,1,"2,1,3",CAB,2,3,1,"3,1,2",CAB,2,3,1,"3,1,2",6,15,9,5,1.2,3.0,1.8,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,jameszbl::abstractfactory::member
JamesZBL,NewShip.java,"The NewShip class implements the Ship interface and represents a specific type of ship with a fixed description, ""I am a brand-new ship,"" supporting the Abstract Factory pattern's product creation.","observer: NewShip acts as an observer, which gets Description. It is a public class that implements Ship. The only method of NewShip is getDescription (String). No methods call getDescription and getDescription calls no methods.   abstract_factory: NewShip acts as a product for TeamFactory, which overrides. It is a public class that implements Ship. The only method of NewShip is getDescription (String). No methods call getDescription and getDescription calls no methods.","NewShip is a public Ship implementation that supplies a fixed description string via getDescription(). It serves as a concrete product in an abstract factory context and is also associated with observer-pattern analysis, though no observer-specific methods or collaborators are exposed here.",The NewShip class acts as a concrete observer in the observer pattern and acts as an abstract product in the abstract_factory pattern and provides methods to get. The getDescription method retrieves and returns a String. The NewShip class acts as a concrete observer in the observer pattern and acts as an abstract product in the abstract_factory pattern.,BAC,2,1,3,"1,2,3",BAC,2,1,3,"1,2,3",BCA,2,3,1,"1,2,3",CBA,2,3,1,"2,1,3",BAC,2,1,3,"1,2,3",8,15,7,5,1.6,3.0,1.4,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,jameszbl::abstractfactory::newship
JamesZBL,OldCaptain.java,"The OldCaptain class implements the Captain interface and represents a specific type of captain with a fixed description, ""I am an old captain,"" aligning with the Abstract Factory pattern's product family.","observer: OldCaptain acts as an observer, which gets Description. It is a public class that implements Captain. The only method of OldCaptain is getDescription (String). No methods call getDescription and getDescription calls no methods.   abstract_factory: OldCaptain acts as a product for TeamFactory, which overrides. It is a public class that implements Captain. The only method of OldCaptain is getDescription (String). No methods call getDescription and getDescription calls no methods.","OldCaptain is a public Captain implementation that provides a description string via getDescription(). It serves as a concrete participant in the abstract factory structure, supplying the “old captain” role. Static analysis also links it to observer-pattern context, though no direct observer collaborators are specified.",The OldCaptain class acts as a concrete observer in the observer pattern and acts as an abstract product in the abstract_factory pattern and provides methods to get. The getDescription method retrieves and returns a String. The OldCaptain class acts as a concrete observer in the observer pattern and acts as an abstract product in the abstract_factory pattern.,ABC,2,1,3,"2,1,3",BCA,2,3,1,"1,2,3",CAB,2,3,1,"3,1,2",BAC,2,1,3,"1,2,3",CBA,2,3,1,"2,1,3",7,15,8,5,1.4,3.0,1.6,GPT,GPT,LLM_GPT_SUMMARY.csv,ranked,,jameszbl::abstractfactory::oldcaptain
